seller_id,Year_Month,Monthly_Revenue,Monthly_Orders
01bcc9d254a0143f0ce9791b960b2a47,2018-02,165.9,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-04,58.8,2
01c97ebb5cdac52891c0ed1c37ba0012,2017-07,29.4,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-08,29.4,1
01c97ebb5cdac52891c0ed1c37ba0012,2017-11,58.8,1
01c97ebb5cdac52891c0ed1c37ba0012,2018-03,326.2,3
01c97ebb5cdac52891c0ed1c37ba0012,2018-07,74.9,1
01cf7e3d21494c41fb86034f2e714fa1,2016-10,69.9,1
01cf7e3d21494c41fb86034f2e714fa1,2017-01,980.8,6
01cf7e3d21494c41fb86034f2e714fa1,2017-02,232.0,3
01cf7e3d21494c41fb86034f2e714fa1,2017-03,1274.06,14
01cf7e3d21494c41fb86034f2e714fa1,2017-04,1813.56,9
01cf7e3d21494c41fb86034f2e714fa1,2017-05,1246.99,3
01cf7e3d21494c41fb86034f2e714fa1,2017-06,89.9,1
01cf7e3d21494c41fb86034f2e714fa1,2017-07,1164.8,9
01cf7e3d21494c41fb86034f2e714fa1,2017-08,1811.45,10
01cf7e3d21494c41fb86034f2e714fa1,2018-02,1045.9,5
01ed254b9ff8407dfb9d99ba1e17d923,2017-08,678.0,2
01ed254b9ff8407dfb9d99ba1e17d923,2017-09,339.0,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-10,349.0,1
01ed254b9ff8407dfb9d99ba1e17d923,2017-11,99.99,1
01fd077212124329bac32490e8ef80d9,2018-04,198.0,7
01fd077212124329bac32490e8ef80d9,2018-05,205.0,4
01fd077212124329bac32490e8ef80d9,2018-06,69.0,3
01fd077212124329bac32490e8ef80d9,2018-07,266.0,6
01fd077212124329bac32490e8ef80d9,2018-08,470.0,11
01fdefa7697d26ad920e9e0346d4bd1b,2017-04,64.9,1
01fdefa7697d26ad920e9e0346d4bd1b,2017-05,346.78,4
01fdefa7697d26ad920e9e0346d4bd1b,2017-06,366.59,5
01fdefa7697d26ad920e9e0346d4bd1b,2017-07,1361.37,10
01fdefa7697d26ad920e9e0346d4bd1b,2017-08,1085.39,8
01fdefa7697d26ad920e9e0346d4bd1b,2017-09,797.5,6
01fdefa7697d26ad920e9e0346d4bd1b,2017-10,909.46,8
01fdefa7697d26ad920e9e0346d4bd1b,2017-11,1169.56,9
01fdefa7697d26ad920e9e0346d4bd1b,2017-12,1993.42,15
01fdefa7697d26ad920e9e0346d4bd1b,2018-01,1675.8,12
01fdefa7697d26ad920e9e0346d4bd1b,2018-02,778.3,7
01fdefa7697d26ad920e9e0346d4bd1b,2018-03,518.5,5
01fdefa7697d26ad920e9e0346d4bd1b,2018-04,389.69,4
